Species,MAP,Individual,FA_index
Anagallis arvensis,780,1,0.02
Anagallis arvensis,780,2,0.031
Anagallis arvensis,780,3,0.078
Anagallis arvensis,780,4,0.032
Anagallis arvensis,780,5,0.01
Anagallis arvensis,780,6,0.006
Anagallis arvensis,780,7,0.021
Anagallis arvensis,780,8,0.027
Anagallis arvensis,780,9,NA
Anagallis arvensis,780,10,NA
Anagallis arvensis,540,1,0.019
Anagallis arvensis,540,2,0.023
Anagallis arvensis,540,3,0.021
Anagallis arvensis,540,4,0.039
Anagallis arvensis,540,5,0.006
Anagallis arvensis,540,6,0.041
Anagallis arvensis,540,7,0
Anagallis arvensis,540,8,0.041
Anagallis arvensis,540,9,0.014
Anagallis arvensis,540,10,0.02
Anagallis arvensis,371,1,0.064
Anagallis arvensis,371,2,0.008
Anagallis arvensis,371,3,0.006
Anagallis arvensis,371,4,0.059
Anagallis arvensis,371,5,0
Anagallis arvensis,371,6,0
Anagallis arvensis,371,7,0.005
Anagallis arvensis,371,8,0.034
Anagallis arvensis,371,9,0.033
Anagallis arvensis,371,10,0.042
Anagallis arvensis,300,1,0.005
Anagallis arvensis,300,2,0.006
Anagallis arvensis,300,3,0.012
Anagallis arvensis,300,4,0.028
Anagallis arvensis,300,5,0.022
Anagallis arvensis,300,6,0.039
Anagallis arvensis,300,7,0.027
Anagallis arvensis,300,8,0.027
Anagallis arvensis,300,9,0.028
Anagallis arvensis,300,10,0
Erodium malacoides,540,1,0.019
Erodium malacoides,540,2,0.02
Erodium malacoides,540,3,0.16
Erodium malacoides,540,4,0.033
Erodium malacoides,540,5,0.049
Erodium malacoides,540,6,0.039
Erodium malacoides,540,7,0.012
Erodium malacoides,540,8,0.015
Erodium malacoides,540,9,0.026
Erodium malacoides,540,10,NA
Erodium malacoides,371,1,0.026
Erodium malacoides,371,2,0.042
Erodium malacoides,371,3,0.066
Erodium malacoides,371,4,0.012
Erodium malacoides,371,5,0.038
Erodium malacoides,371,6,0.008
Erodium malacoides,371,7,0.041
Erodium malacoides,371,8,0.165
Erodium malacoides,371,9,0.031
Erodium malacoides,371,10,0.026
Erodium malacoides,300,1,0.027
Erodium malacoides,300,2,0.024
Erodium malacoides,300,3,0.033
Erodium malacoides,300,4,0.034
Erodium malacoides,300,5,0.014
Erodium malacoides,300,6,0.031
Erodium malacoides,300,7,0.043
Erodium malacoides,300,8,0.035
Erodium malacoides,300,9,0.014
Erodium malacoides,300,10,0.039
Hedypnois rhagadioloides,780,1,0.022
Hedypnois rhagadioloides,780,2,0.022
Hedypnois rhagadioloides,780,3,0.005
Hedypnois rhagadioloides,780,4,0.004
Hedypnois rhagadioloides,780,5,0.006
Hedypnois rhagadioloides,780,6,0.023
Hedypnois rhagadioloides,780,7,0.008
Hedypnois rhagadioloides,780,8,0.004
Hedypnois rhagadioloides,780,9,0.018
Hedypnois rhagadioloides,780,10,0.003
Hedypnois rhagadioloides,540,1,0.006
Hedypnois rhagadioloides,540,2,0.025
