Species,Watering_treatments,Locality,Individual,FA_Index
Hedypnois rhagadioloides,30,Mediterranean,1,0.086509812
Hedypnois rhagadioloides,30,Mediterranean,2,0.030443128
Hedypnois rhagadioloides,30,Mediterranean,3,0.029132707
Hedypnois rhagadioloides,30,Mediterranean,4,0.071766978
Hedypnois rhagadioloides,30,Semi-arid,1,0.025756231
Hedypnois rhagadioloides,30,Semi-arid,2,0.009048129
Hedypnois rhagadioloides,30,Semi-arid,3,0.096209407
Hedypnois rhagadioloides,30,Semi-arid,4,0.031681348
Hedypnois rhagadioloides,30,Semi-arid,5,0.013980643
Hedypnois rhagadioloides,30,Semi-arid,6,0.017979009
Hedypnois rhagadioloides,50,Mediterranean,1,0.009566345
Hedypnois rhagadioloides,50,Mediterranean,2,0.041693965
Hedypnois rhagadioloides,50,Mediterranean,3,0.020494761
Hedypnois rhagadioloides,50,Mediterranean,4,0.041843298
Hedypnois rhagadioloides,50,Mediterranean,5,0.051278496
Hedypnois rhagadioloides,50,Mediterranean,6,0.064940807
Hedypnois rhagadioloides,50,Mediterranean,7,0.018773277
Hedypnois rhagadioloides,50,Mediterranean,8,0.005347581
Hedypnois rhagadioloides,50,Mediterranean,9,0.060069584
Hedypnois rhagadioloides,50,Mediterranean,10,0.022411668
Hedypnois rhagadioloides,50,Semi-arid,1,0.034389161
Hedypnois rhagadioloides,50,Semi-arid,2,0.054951366
Hedypnois rhagadioloides,50,Semi-arid,3,0.024059384
Hedypnois rhagadioloides,50,Semi-arid,4,0.029781852
Hedypnois rhagadioloides,50,Semi-arid,5,0.024660896
Hedypnois rhagadioloides,50,Semi-arid,6,0.023173104
Hedypnois rhagadioloides,50,Semi-arid,7,0.024419435
Hedypnois rhagadioloides,50,Semi-arid,8,0.046996563
Hedypnois rhagadioloides,50,Semi-arid,9,0.025110721
Hedypnois rhagadioloides,50,Semi-arid,10,0.043465694
Hedypnois rhagadioloides,90,Mediterranean,1,0.006204312
Hedypnois rhagadioloides,90,Mediterranean,2,0.012964977
Hedypnois rhagadioloides,90,Mediterranean,3,0.054651204
Hedypnois rhagadioloides,90,Mediterranean,4,0.004321374
Hedypnois rhagadioloides,90,Mediterranean,5,0.032943853
Hedypnois rhagadioloides,90,Mediterranean,6,0.009605641
Hedypnois rhagadioloides,90,Mediterranean,7,0.001882103
Hedypnois rhagadioloides,90,Mediterranean,8,0.026462671
Hedypnois rhagadioloides,90,Mediterranean,9,0.031931031
Hedypnois rhagadioloides,90,Mediterranean,10,0.185343728
Hedypnois rhagadioloides,90,Semi-arid,1,0.027349608
Hedypnois rhagadioloides,90,Semi-arid,2,0.004986214
Hedypnois rhagadioloides,90,Semi-arid,3,0.013477074
Hedypnois rhagadioloides,90,Semi-arid,4,0.006185377
Hedypnois rhagadioloides,90,Semi-arid,6,0.00415596
Hedypnois rhagadioloides,90,Semi-arid,7,0.011838402
Hedypnois rhagadioloides,90,Semi-arid,8,0.075952276
Hedypnois rhagadioloides,90,Semi-arid,9,0.018261317
Hedypnois rhagadioloides,90,Semi-arid,10,0.015122032
Hymenocarpos circinnatus,30,Mediterranean,1,0.004852503
Hymenocarpos circinnatus,30,Mediterranean,2,0.033809431
Hymenocarpos circinnatus,30,Mediterranean,3,0.020746367
Hymenocarpos circinnatus,30,Mediterranean,4,0.011216263
Hymenocarpos circinnatus,30,Mediterranean,5,0.022602537
Hymenocarpos circinnatus,30,Mediterranean,6,0.046027155
Hymenocarpos circinnatus,30,Mediterranean,7,0.026474896
Hymenocarpos circinnatus,30,Mediterranean,8,0.027865178
Hymenocarpos circinnatus,30,Mediterranean,9,0.049687784
Hymenocarpos circinnatus,30,Mediterranean,10,0.009503541
Hymenocarpos circinnatus,30,Semi-arid,1,0.038990908
Hymenocarpos circinnatus,30,Semi-arid,2,0.013467575
Hymenocarpos circinnatus,30,Semi-arid,3,0.085620968
Hymenocarpos circinnatus,30,Semi-arid,4,0.05173205
Hymenocarpos circinnatus,30,Semi-arid,5,0.045302494
Hymenocarpos circinnatus,30,Semi-arid,6,0.055649245
Hymenocarpos circinnatus,30,Semi-arid,7,0.015948958
Hymenocarpos circinnatus,30,Semi-arid,8,0.031908678
Hymenocarpos circinnatus,30,Semi-arid,9,0.007436731
Hymenocarpos circinnatus,50,Mediterranean,1,0.130633385
Hymenocarpos circinnatus,50,Mediterranean,2,0.025183546
Hymenocarpos circinnatus,50,Mediterranean,3,0.065668324
Hymenocarpos circinnatus,50,Mediterranean,4,0.001824769
Hymenocarpos circinnatus,50,Mediterranean,5,0.024622475
Hymenocarpos circinnatus,50,Mediterranean,6,0.008433168
Hymenocarpos circinnatus,50,Mediterranean,7,0.017728767
Hymenocarpos circinnatus,50,Mediterranean,8,0.082974235
Hymenocarpos circinnatus,50,Mediterranean,9,0.085547981
Hymenocarpos circinnatus,50,Mediterranean,10,0.012434638
Hymenocarpos circinnatus,50,Semi-arid,1,0.034400796
