Species,Indicator_Value_Nitrogen,Individual,FA_Index
Centaurea jacea,4.5,1,0.011
Centaurea jacea,4.5,2,0.1
Centaurea jacea,4.5,3,0.003
Centaurea jacea,4.5,4,0.007
Centaurea jacea,4.5,5,0.014
Centaurea jacea,4.5,6,0.063
Centaurea jacea,4.5,7,0.036
Centaurea jacea,4.5,8,0.013
Centaurea jacea,4.5,9,0.046
Centaurea jacea,4.5,10,0.038
Centaurea jacea,3.1,1,0.006
Centaurea jacea,3.1,2,0.008
Centaurea jacea,3.1,3,0.013
Centaurea jacea,3.1,4,0.029
Centaurea jacea,3.1,5,0.011
Centaurea jacea,3.1,6,0.025
Centaurea jacea,3.1,7,0.004
Centaurea jacea,3.1,8,0.023
Centaurea jacea,3.1,9,0.019
Centaurea jacea,3.1,10,0.021
Centaurea jacea,4.3,1,0.041
Centaurea jacea,4.3,2,0.037
Centaurea jacea,4.3,3,0.086
Centaurea jacea,4.3,4,0.01
Centaurea jacea,4.3,5,0.043
Centaurea jacea,4.3,6,0.031
Centaurea jacea,4.3,7,0.033
Centaurea jacea,4.3,8,0.009
Centaurea jacea,4.3,9,0.009
Centaurea jacea,4.3,10,0.074
Centaurea jacea,3,1,0.051
Centaurea jacea,3,2,0.002
Centaurea jacea,3,3,0.025
Centaurea jacea,3,4,0.059
Centaurea jacea,3,5,0.011
Centaurea jacea,3,6,0.043
Centaurea jacea,3,7,0.011
Centaurea jacea,3,8,0.082
Centaurea jacea,3,9,0.026
Centaurea jacea,3,10,0.042
Lathyrus pratensis,4.5,1,0
Lathyrus pratensis,4.5,2,0.042
Lathyrus pratensis,4.5,3,0.008
Lathyrus pratensis,4.5,4,0
Lathyrus pratensis,4.5,5,0.055
Lathyrus pratensis,4.5,6,0.033
Lathyrus pratensis,4.5,7,0.003
Lathyrus pratensis,4.5,8,0.013
Lathyrus pratensis,4.5,9,0.044
Lathyrus pratensis,4.5,10,0.05
Lathyrus pratensis,3.7,1,0.04
Lathyrus pratensis,3.7,2,0.001
Lathyrus pratensis,3.7,3,0.048
Lathyrus pratensis,3.7,4,0.007
Lathyrus pratensis,3.7,5,0.034
Lathyrus pratensis,3.7,6,0.219
Lathyrus pratensis,3.7,7,0.013
Lathyrus pratensis,3.7,8,0.004
Lathyrus pratensis,3.7,9,0.028
Lathyrus pratensis,3.7,10,0.043
Lathyrus pratensis,3.1,1,0.002
Lathyrus pratensis,3.1,2,0.024
Lathyrus pratensis,3.1,3,0.046
Lathyrus pratensis,3.1,4,0.051
Lathyrus pratensis,3.1,5,0.008
Lathyrus pratensis,3.1,6,0.036
Lathyrus pratensis,3.1,7,0.008
Lathyrus pratensis,3.1,8,0.02
Lathyrus pratensis,3.1,9,0.009
Lathyrus pratensis,3.1,10,0.01
Lotus corniculatus,4.5,1,0.085
Lotus corniculatus,4.5,2,0.178
Lotus corniculatus,4.5,3,0.049
Lotus corniculatus,4.5,4,0.009
Lotus corniculatus,4.5,5,0.029
Lotus corniculatus,4.5,6,0.018
Lotus corniculatus,4.5,7,0.047
Lotus corniculatus,4.5,8,0.003
Lotus corniculatus,4.5,9,0.06
Lotus corniculatus,4.5,10,0.013
Lotus corniculatus,3.7,1,0.074
Lotus corniculatus,3.7,2,0.063
Lotus corniculatus,3.7,3,0.044
Lotus corniculatus,3.7,4,0.006
Lotus corniculatus,3.7,5,0.084
Lotus corniculatus,3.7,6,0.019
Lotus corniculatus,3.7,7,0.017
Lotus corniculatus,3.7,8,0.028
Lotus corniculatus,3.7,9,0.045
Lotus corniculatus,3.7,10,0.031
Lotus corniculatus,3.1,1,0.041
Lotus corniculatus,3.1,2,0.054
Lotus corniculatus,3.1,3,0.011
Lotus corniculatus,3.1,4,0.038
Lotus corniculatus,3.1,5,0.009
Lotus corniculatus,3.1,6,0.013
Lotus corniculatus,3.1,7,0.108
Lotus corniculatus,3.1,8,0.014
Lotus corniculatus,3.1,9,0.051
Lotus corniculatus,3.1,10,0.045
Lotus corniculatus,4.3,1,0.055
Lotus corniculatus,4.3,2,0.022
Lotus corniculatus,4.3,3,0.014
Lotus corniculatus,4.3,4,0.02
Lotus corniculatus,4.3,5,0.074
Lotus corniculatus,4.3,6,0.045
Lotus corniculatus,4.3,7,0.008
Lotus corniculatus,4.3,8,0.025
Lotus corniculatus,4.3,9,0.058
Lotus corniculatus,4.3,10,0.039
Lotus corniculatus,3,1,0.006
Lotus corniculatus,3,2,0.012
Lotus corniculatus,3,3,0.013
Lotus corniculatus,3,4,0.039
Lotus corniculatus,3,5,0.015
Lotus corniculatus,3,6,0.021
Lotus corniculatus,3,7,0.029
Lotus corniculatus,3,8,0.1
Lotus corniculatus,3,9,0.034
Lotus corniculatus,3,10,0.01
Lotus corniculatus,3.2,1,0.005
Lotus corniculatus,3.2,2,0.012
Lotus corniculatus,3.2,3,0.077
Lotus corniculatus,3.2,4,0.064
Lotus corniculatus,3.2,5,0.023
Lotus corniculatus,3.2,6,0.028
Lotus corniculatus,3.2,7,0.179
Lotus corniculatus,3.2,8,0.05
Lotus corniculatus,3.2,9,0
Lotus corniculatus,3.2,10,0.03
Plantago lanceolata,4.5,1,0.012
Plantago lanceolata,4.5,2,0.028
Plantago lanceolata,4.5,3,0.094
Plantago lanceolata,4.5,4,0.009
Plantago lanceolata,4.5,5,0.009
Plantago lanceolata,4.5,6,0.001
Plantago lanceolata,4.5,7,0.004
Plantago lanceolata,4.5,8,0.042
Plantago lanceolata,4.5,9,0.021
Plantago lanceolata,4.5,10,0.01
Plantago lanceolata,3.7,1,0.025
Plantago lanceolata,3.7,2,0.011
Plantago lanceolata,3.7,3,0.006
Plantago lanceolata,3.7,4,0.017
Plantago lanceolata,3.7,5,0.032
Plantago lanceolata,3.7,6,0.035
Plantago lanceolata,3.7,7,0.108
Plantago lanceolata,3.7,8,0.036
Plantago lanceolata,3.7,9,0.004
Plantago lanceolata,3.7,10,0.053
Plantago lanceolata,3.1,1,0.014
Plantago lanceolata,3.1,2,0.027
Plantago lanceolata,3.1,3,0.059
Plantago lanceolata,3.1,4,0.015
